h,t
0.7067609103890446,1.43
0.6322299189906616,1.44
0.5559421182225536,1.45
0.47821645780553107,1.46
0.39937439589801765,1.47
0.3197386038192058,1.48
0.2396316788663554,1.49
0.15937487023226735,1.5
0.07928682292746367,1.51
-0.0003176555084217968,1.52
-0.07912880085915802,1.53
-0.15684306615610918,1.54
-0.23316425935279372,1.55
-0.3078046406146659,1.56
-0.38048597528979344,1.57
-0.45094053884032537,1.58
-0.5189120702415597,1.59
-0.5841566705937452,1.6
-0.6464436439407141,1.61
-0.7055562775476862,1.62
-0.7612925591572085,1.63
-0.8134658290158762,1.64
-0.8619053647442488,1.65
-0.9064568974069382,1.66
-0.9469830574280702,1.67
-0.9833637492880086,1.68
-1.0154964542292988,1.69
-1.0432964604919255,1.7
-1.066697020889163,1.71
-1.0856494378242776,1.72
-1.1001230761341074,1.73
-1.1101053044268907,1.74
-1.1156013658576645,1.75
-1.1166341795539894,1.76
-1.113244074166768,1.77
-1.1054884552744473,1.78
-1.0934414086131157,1.79
-1.077193241338964,1.8
-1.056849963752502,1.81
-1.0325327141250433,1.82
-1.0043771294665325,1.83
-0.9725326652591549,1.84
-0.9371618673527786,1.85
-0.8984395993754853,1.86
-0.856552229154909,1.87
-0.8116967777732562,1.88
-0.7640800349905376,1.89
-0.7139176448662636,1.9
-0.6614331654895068,1.91
-0.6068571067906502,1.92
-0.5504259504552471,1.93
-0.4923811559910982,1.94
-0.4329681570141004,1.95
-0.37243535181658116,1.96
-0.3110330922640456,1.97
-0.24901267503255534,1.98
-0.18662533914983312,1.99
-0.12412127373879348,2.0
-0.0617486397831544,2.01
0.0002473903587056991,2.02
0.06162557207261168,2.03
0.1221495027416979,2.04
0.18158850776821805,2.05
0.2397184951437141,2.06
0.2963227755033766,2.07
0.3511928447674866,2.08
0.4041291266493291,2.09
0.4549416724947933,2.1
0.5034508161125593,2.11
0.5494877814550835,2.12
0.5928952412180676,2.13
0.633527824639395,2.14
0.6712525729962657,2.15
0.7059493415210004,2.16
0.7375111466803344,2.17
0.7658444579895345,2.18
0.7908694337600131,2.19
0.8125201004067372,2.2
0.8307444751684147,2.21
0.8455046323185783,2.22
0.8567767131681655,2.23
0.864550880379383,2.24
0.8688312173254779,2.25
0.8696355734409428,2.26
0.8669953567106802,2.27
0.8609552746441373,2.28
0.8515730252705945,2.29
0.8389189398740103,2.3
0.8230755793594343,2.31
0.8041372863074274,2.32
0.7822096949275454,2.33
0.7574092012663511,2.34
0.7298623961590042,2.35
0.6997054635359883,2.36
0.6670835468074007,2.37
0.632150086146348,2.38
0.595066129579856,2.39
0.5559996208703394,2.4
0.5151246672326248,2.41
0.4726207899810056,2.42
0.4286721612373675,2.43
0.3834668298554709,2.44
0.3371959397275631,2.45
0.29005294363822764,2.46
0.24223281581635792,2.47
0.19393126631005944,2.48
0.14534396027085528,2.49
0.09666574518359265,2.5
0.04808988901671484,2.51
-0.0001926678050842355,2.52
-0.047994043787373174,2.53
-0.09513012838701693,2.54
-0.14142127204665605,2.55
-0.18669295173462447,2.56
-0.2307764096039205,2.57
-0.2735092625139927,2.58
-0.3147360802964615,2.59
-0.3543089307907596,2.6
-0.39208788982639886,2.61
-0.42794151448538686,2.62
-0.46174727813994043,2.63
-0.4933919659266853,2.64
-0.5227720294881861,2.65
-0.5497938999852978,2.66
-0.5743742585585349,2.67
-0.5964402635931451,2.68
-0.6159297343195367,2.69
-0.6327912904580228,2.7
-0.6469844477934047,2.71
-0.6584796697402093,2.72
-0.6672583751327115,2.73
-0.6733129026445359,2.74
-0.6766464324099638,2.75
-0.6772728655825565,2.76
-0.6752166627255497,2.77
-0.6705126420823108,2.78
-0.6632057389232243,2.79
-0.6533507273073119,2.8
-0.6410119057320778,2.81
-0.626262748273139,2.82
-0.6091855229356176,2.83
-0.5898708790517215,2.84
-0.5684174056630038,2.85
-0.5449311629211686,2.86
-0.5195251886276538,2.87
-0.49231898210943126,2.88
-0.46343796769606205,2.89
-0.43301294012122454,2.9
-0.401179494220166,2.91
-0.36807744133303316,2.92
-0.3338502148525725,2.93
-0.298644267373351,2.94
-0.26260846190832443,2.95
-0.22589345963761678,2.96
-0.188651106643371,2.97
-0.15103382206430352,2.98
-0.11319399007364238,2.99
-0.0752833580451629,3.0
-0.03745244322403349,3.01
0.00015004983747217781,3.02
0.03737779888436944,3.03
0.07408741848149095,3.04
0.11013899741288985,3.05
